,text_original_word_count,text_processed_word_count_with_stopwords,text_processed_word_count_without_stopwords,text_stopwords_removed,text_stopwords_percentage,text_unique_words,text_lexical_diversity,text_polarity,text_subjectivity
text_original_word_count,1.0,0.9910316301010614,0.993615072988914,0.9552921229339665,0.29168133634310506,0.9389092214686666,-0.6523780639915615,0.036110289091809626,0.30818193565833973
text_processed_word_count_with_stopwords,0.9910316301010614,1.0,0.9951012329007554,0.9793032540944739,0.3511770775155687,0.9398754891635513,-0.6243008196315885,0.011838499171501376,0.28305461770394613
text_processed_word_count_without_stopwords,0.993615072988914,0.9951012329007554,1.0,0.9544965215213621,0.2796464062645071,0.9435368496061237,-0.6470403268163296,0.024083745616731295,0.29769107862698896
text_stopwords_removed,0.9552921229339665,0.9793032540944739,0.9544965215213621,1.0,0.4868315081039535,0.9035009851297354,-0.558563982698548,-0.013594934927672442,0.24439226856665988
text_stopwords_percentage,0.29168133634310506,0.3511770775155687,0.2796464062645071,0.4868315081039535,1.0,0.28957456961061256,-0.15900085114587273,0.011077210918747539,0.08322662600396318
text_unique_words,0.9389092214686666,0.9398754891635513,0.9435368496061237,0.9035009851297354,0.28957456961061256,1.0,-0.48406911406456427,-0.028305136271988655,0.2969345323181372
text_lexical_diversity,-0.6523780639915615,-0.6243008196315885,-0.6470403268163296,-0.558563982698548,-0.15900085114587273,-0.48406911406456427,1.0,-0.2941942822140933,-0.430115105372255
text_polarity,0.036110289091809626,0.011838499171501376,0.024083745616731295,-0.013594934927672442,0.011077210918747539,-0.028305136271988655,-0.2941942822140933,1.0,0.6462390512051903
text_subjectivity,0.30818193565833973,0.28305461770394613,0.29769107862698896,0.24439226856665988,0.08322662600396318,0.2969345323181372,-0.430115105372255,0.6462390512051903,1.0
