region,num_countries,audio_duration,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_zero_crossing_rate,audio_rms_energy,audio_harmonic_ratio
Europe,44,82.52141001855287,1684.3730463817656,2023.3688643121584,3244.7940247935753,0.04494648984689197,0.08838288718181818,0.6926935211363636
Asia,47,79.78956916099773,1784.3378800901135,2115.9265988348534,3455.51984393471,0.04698313920266768,0.0936950259574468,0.6774864280851064
Americas,34,111.86400960384152,1602.0276724505843,1893.0995407614391,3058.6528549006935,0.04386202755291502,0.0757703644117647,0.6537350297058824
Africa,54,77.0999025783153,1740.5849893448142,2130.952600697725,3398.38011763946,0.04412270231960514,0.08937353387037038,0.6798190985185184
Oceania,14,67.64781341107872,1581.0214162968955,1855.1288308329952,3001.683015732237,0.04539984634670107,0.08041348614285714,0.7686843935714286
