,Telephones - Public,Telephones - Private,Telephones - Total,Additions - Public,Additions - Private,Share% age - Public,Share% age - Private,% age Growth - Public,% age Growth - Private
Telephones - Public,1.0,0.7394138183545659,0.7736444581807831,-0.16759832222069768,-0.5019432447957242,-0.5370736978905858,0.5370736978905866,-0.21041182168554448,-0.6958832147380194
Telephones - Private,0.7394138183545659,1.0,0.9986288132208123,-0.6303637414473251,-0.5164502493170333,-0.9583296032662636,0.9583296032662634,-0.6787928799681658,-0.7803635717564181
Telephones - Total,0.7736444581807831,0.9986288132208123,1.0,-0.6062889474596749,-0.5250785511137004,-0.9436780859949709,0.943678085994971,-0.6551963130628438,-0.788536598843804
Additions - Public,-0.16759832222069768,-0.6303637414473251,-0.6062889474596749,1.0,0.4603601347785637,0.6840372438561214,-0.6840372438561207,0.9957839869735988,0.5752947047490425
Additions - Private,-0.5019432447957242,-0.5164502493170333,-0.5250785511137004,0.4603601347785637,1.0,0.400021784649535,-0.40002178464953503,0.46799093575351913,0.9343359455972227
Share% age - Public,-0.5370736978905858,-0.9583296032662636,-0.9436780859949709,0.6840372438561214,0.400021784649535,1.0,-1.0,0.7291905985242499,0.6678678101676465
Share% age - Private,0.5370736978905866,0.9583296032662634,0.943678085994971,-0.6840372438561207,-0.40002178464953503,-1.0,1.0,-0.7291905985242496,-0.6678678101676471
% age Growth - Public,-0.21041182168554448,-0.6787928799681658,-0.6551963130628438,0.9957839869735988,0.46799093575351913,0.7291905985242499,-0.7291905985242496,1.0,0.6019131898166937
% age Growth - Private,-0.6958832147380194,-0.7803635717564181,-0.788536598843804,0.5752947047490425,0.9343359455972227,0.6678678101676465,-0.6678678101676471,0.6019131898166937,1.0
