country_code,country_name,region,colonial_history,width,height,aspect_ratio,hex_colors,color_percentages,unique_colors,most_common_color,has_red,has_blue,has_green,has_yellow,has_white,has_black,has_orange,has_purple,horizontal_symmetry,vertical_symmetry,horizontal_stripes,vertical_stripes,cross,saltire,canton,circle,star,crescent,triangle,emblem,aspect_ratio_category,horizontal_symmetry_level,vertical_symmetry_level,complexity_score
gn,gn,Unknown,Unknown,600,400,1.5,"['#fcd115', '#009360', '#cd1026', '#a7bc2f', '#ed901a']","[0.32, 0.33, 0.33, 0.01, 0.01]",3,green,True,False,True,True,False,False,False,False,1.0,0.388235294117647,False,True,True,False,True,False,False,False,False,False,2:3,High,Low,5
gq,gq,Unknown,Unknown,600,400,1.5,"['#c0c4af', '#e22119', '#3e9a02', '#0173cc', '#fcfbfb']","[0.0155, 0.306, 0.309, 0.12433333333333334, 0.24516666666666667]",5,gray,True,True,True,False,True,False,False,False,0.9439201307189542,0.8892147712418301,True,True,True,False,True,False,True,False,True,True,2:3,High,High,10
gr,Greece,Europe,None,600,400,1.5,"['#fdfdfe', '#0b5cae', '#5d93c9', '#adc9e4', '#246db6']","[0.39566666666666667, 0.476, 0.058833333333333335, 0.031, 0.0385]",2,blue,False,True,False,False,True,False,False,False,0.8847982352941176,0.8765932026143791,True,True,False,False,False,False,False,False,False,False,2:3,High,High,4
gt,gt,Unknown,Unknown,600,375,1.6,"['#fefefe', '#4896cf', '#7f905e', '#c9dde8', '#cccd9d']","[0.2776666666666667, 0.66, 0.015833333333333335, 0.0285, 0.018]",3,white,False,True,True,False,True,False,False,False,0.974852434378386,0.9822035032679739,False,True,True,False,True,False,True,False,False,True,3:5,High,High,7
gw,gw,Unknown,Unknown,600,300,2.0,"['#fbd016', '#009e48', '#cd1025', '#130103', '#456f3c']","[0.335, 0.33, 0.314, 0.016, 0.005]",4,green,True,False,True,True,False,True,False,False,0.7295966884531591,0.5361032679738562,True,True,False,False,True,False,False,False,False,False,1:2,Medium,Low,6
gy,gy,Unknown,Unknown,600,360,1.6666666666666667,"['#f9d019', '#029e4a', '#cb1225', '#eff5e5', '#110703']","[0.16733333333333333, 0.501, 0.19766666666666666, 0.081, 0.053]",5,yellow,True,False,True,True,True,True,False,False,0.9999996368917937,0.5547569353667393,False,True,True,False,True,False,False,False,False,False,3:5,High,Low,7
hn,hn,Unknown,Unknown,600,300,2.0,"['#0c3a98', '#fefefe', '#6a87c0', '#e6ebf4', '#204aa1']","[0.6366666666666667, 0.28, 0.004666666666666667, 0.044333333333333336, 0.034333333333333334]",2,blue,False,True,False,False,True,False,False,False,0.9940247930283225,0.9986844008714597,True,False,True,False,True,False,False,False,False,False,1:2,High,High,4
hr,hr,Unknown,Unknown,600,300,2.0,"['#fdfbfc', '#011589', '#c7112f', '#c5818b', '#1da5d6']","[0.29833333333333334, 0.32966666666666666, 0.33, 0.031, 0.011]",3,blue,True,True,False,False,True,False,False,False,0.8374572549019608,0.9879499782135076,True,False,True,False,True,False,True,False,False,True,1:2,Medium,High,7
ht,ht,Unknown,Unknown,600,360,1.6666666666666667,"['#d11034', '#00209e', '#faf8f5', '#62753c', '#afa6b4']","[0.475, 0.47683333333333333, 0.0175, 0.016666666666666666, 0.014]",5,red,True,True,True,False,True,False,False,False,0.17917824981844588,0.9930179738562092,True,False,True,False,True,False,False,False,False,True,3:5,Low,High,8
hu,Hungary,Europe,None,600,300,2.0,"['#fffeff', '#477050', '#cd2838', '#f5f1ef', '#d23949']","[0.3, 0.3333333333333333, 0.31666666666666665, 0.03333333333333333, 0.016666666666666666]",3,white,True,False,True,False,True,False,False,False,0.3411764705882353,1.0,True,False,True,False,True,False,False,False,False,False,1:2,Low,High,5
