,red,blue,green,yellow,white,black
Unknown,87.02290076335878,54.19847328244275,52.67175572519084,61.06870229007634,68.70229007633588,27.480916030534353
Middle East,71.42857142857143,14.285714285714285,57.14285714285714,0.0,100.0,28.57142857142857
South America,83.33333333333334,83.33333333333334,33.33333333333333,83.33333333333334,66.66666666666666,0.0
Europe,81.81818181818183,50.0,18.181818181818183,54.54545454545454,72.72727272727273,9.090909090909092
Oceania,100.0,100.0,0.0,50.0,100.0,0.0
Asia,83.33333333333334,41.66666666666667,25.0,58.333333333333336,75.0,8.333333333333332
North America,100.0,33.33333333333333,33.33333333333333,66.66666666666666,100.0,0.0
Africa,83.33333333333334,16.666666666666664,83.33333333333334,66.66666666666666,58.333333333333336,41.66666666666667
