Color,Count,Percentage
Red,167,85.64102564102564
Blue,98,50.256410256410255
Green,93,47.69230769230769
Yellow,115,58.97435897435898
White,138,70.76923076923077
Black,46,23.589743589743588
Orange,1,0.5128205128205128
Purple,0,0.0
