cluster,content_type,spectral_centroid,harmonic_ratio,zero_crossing_rate,rms_energy,tempo
0,music,3381.799908145467,0.76764053,0.0743164236686451,0.19014208,[118.89544961]
1,music,1985.4157309664515,0.79125726,0.051154601715015395,0.10975026,[112.14989263]
2,mixed,1222.911612653334,0.7195638,0.04070858599170907,0.074152954,[96.96800595]
